"t","QL","QB","QC","QLim","QBim","QCim","QLm","QBm","QCm","QLnetchange","QBnetchange","QCnetchange","RL","RB","RC","Ex","AcRL","AcRB","AcRC","AcEx","Total13C_theoretical"
18,0.557264417040765,0.311823996767831,0.0575573225753037,0.100128923126648,0.054649076054751,0.0399482145310605,0.457135493914117,0.25717492071308,0.0176091080442432,-1.58760807387193e-05,-0.000444563035320922,0.285707650133424,1.05e-08,9.52e-08,0.001154098,6.33355074013409e-05,0.004418217,0.000286365,0.006642295,5.85941482380431,6.79740743718821
19,0.557256563351633,0.311522314297456,0.0593901934283752,0.105131348753152,0.0573863878464701,0.0419964758187145,0.452125214598481,0.254135926450985,0.0173937176096607,-7.85368913180928e-06,-0.000301682470375653,0.285905130232375,5.47e-09,6.84e-08,0.001220055,3.38074121364329e-05,0.004418222,0.000286433,0.007862349,5.85944863121645,6.80018470629391
20,0.557252678234519,0.31131759121951,0.0612171088267519,0.110079031063254,0.0600944575787408,0.0440277141524059,0.447173647171265,0.251223133640769,0.017189394674346,-3.88511711391093e-06,-0.000204723077946056,0.286046458581096,2.84e-09,4.86e-08,0.001892727,1.80458191971766e-05,0.004418225,0.000286482,0.009755076,5.85946667703564,6.80371383831642
21,0.557250756317986,0.311178665220291,0.0630352744908657,0.114972569132466,0.0627735976376212,0.0460420710086951,0.44227818718552,0.24840506758267,0.0169932034821706,-1.92191653303198e-06,-0.000138925999218775,0.286147601441862,1.24e-09,2.93e-08,0.002448917,9.63255008112895e-06,0.004418226,0.000286511,0.012203993,5.85947630958572,6.80784973561487
22,0.557249805571058,0.311084389413906,0.0648428318671141,0.119812555480405,0.0654241170720228,0.0480396866883406,0.437437250090653,0.245660272341883,0.0168031451787735,-9.50746927741442e-07,-9.42758063847138e-05,0.286219985209,5.71e-10,1.82e-08,0.002397205,5.14169071674786e-06,0.004418227,0.000286529,0.014601198,5.85948145127644,6.81196443212852
23,0.55724933524901,0.311020413428709,0.0666385570925123,0.124599576142533,0.0680463216293596,0.0500207003260716,0.432649759106476,0.242974091799349,0.0166178567664407,-4.70322048529148e-07,-6.39759851969179e-05,0.286271787280896,4.52483e-10,1.27746e-08,0.002652589,2.74454668947044e-06,0.004418227,0.000286542,0.017253787,5.85948419582313,6.81635105759336
24,0.557249102586855,0.310976999038115,0.0684216567130546,0.129334210741121,0.0706405137908183,0.0519852499002782,0.427914891845733,0.240336485247297,0.0164364068127764,-2.32662155097429e-07,-4.34143905937434e-05,0.286308859883757,1.41e-10,8.57e-09,0.002552443,1.46499214892515e-06,0.004418227,0.000286551,0.01980623,5.85948566081528,6.82064442715331
25,0.557248987491935,0.310947537837873,0.0701916290595637,0.134017032555427,0.0732069928062497,0.0539334722426222,0.423231954936508,0.237740545031623,0.0162581568169415,-1.15094919816983e-07,-2.94612002428307e-05,0.286335391214119,7.07e-11,5.9e-09,0.002605545,7.81987787412675e-07,0.004418228,0.000286557,0.022411775,5.85948644280307,6.82499115719244
26,0.557248930555986,0.310927545335205,0.071948170178987,0.13864860859111,0.0757460547286887,0.0558655030475668,0.418600321964876,0.235181490606516,0.0160826671314202,-5.69359488444832e-08,-1.99925026674319e-05,0.286354378591224,3.47e-11,3.93e-09,0.002548668,4.17411725628369e-07,0.004418228,0.000286561,0.024960443,5.85948686021479,6.82927673828497
27,0.557248902390518,0.310913978333195,0.0736911100012029,0.143229499648887,0.0782579924485054,0.0577814768818284,0.414019402741631,0.23265598588469,0.0159096331193745,-2.81654678468968e-08,-1.35670020097733e-05,0.28636796707263,1.54e-11,2.41e-09,0.00221349,2.22807249983248e-07,0.004418228,0.000286563,0.027173933,5.85948708302204,6.83321979774696
28,0.55724888845743,0.310904771704761,0.0754203690237625,0.147760260392433,0.0807430957271904,0.059681527193749,0.409488628064998,0.23016167597757,0.0157388418300135,-1.3933088016671e-08,-9.20662843456599e-06,0.286377691787419,7.95e-12,1.7e-09,0.002017642,1.18930705284015e-07,0.004418228,0.000286565,0.029191575,5.85948720195275,6.8369575991387
29,0.557248881564914,0.310898524045398,0.0771359289201776,0.152241439415541,0.0832016512307807,0.0615657863225909,0.405007442149373,0.227696872814617,0.0155701425975867,-6.89251600238805e-09,-6.24765936274585e-06,0.286384651364056,3.28e-12,9.7e-10,0.001748829,6.34831787138523e-08,0.004418228,0.000286566,0.030940404,5.85948726543593,6.84041579796641
30,0.557248878155277,0.310894284355723,0.0788378125967727,0.156673579308549,0.0856339425629269,0.0634343855077541,0.400575298846727,0.225260341792796,0.0154034270890186,-3.40963746126022e-09,-4.23968967472321e-06,0.286389632045548,1.59e-12,6.44e-10,0.001431843,3.38862369275716e-08,0.004418228,0.000286566,0.032372247,5.85948729932216,6.84354531542993
